Module,Use Case,Test Case ID,Tên Test Case,Mô Tả,Tiền Điều Kiện,Các Bước Thực Hiện,Kết Quả Mong Đợi,Loại Test
Authentication,U1: Đăng nhập,TC_U1_01,Đăng nhập bằng tài khoản Khách hàng,Kiểm tra happy path cho user thường,Khách hàng tồn tại trong DB,1. Nhập email KH hợp lệ. 2. Nhập password đúng. 3. Bấm Đăng nhập.,Đăng nhập thành công; session lưu role CUSTOMER; chuyển hướng về trang chủ Khách.,UI/API
Authentication,U1: Đăng nhập,TC_U1_02,Đăng nhập bằng tài khoản Nhân viên,Kiểm tra happy path cho nhân viên,Nhân viên tồn tại trong DB,1. Nhập email Nhân viên. 2. Nhập password đúng. 3. Bấm Đăng nhập.,Đăng nhập thành công; session lưu role EMPLOYEE; chuyển về trang xử lý đơn.,UI/API
Authentication,U1: Đăng nhập,TC_U1_03,Đăng nhập bằng tài khoản Quản lý,Kiểm tra happy path cho quản lý,Quản lý tồn tại trong DB,1. Nhập email Quản lý. 2. Nhập password đúng. 3. Bấm Đăng nhập.,Đăng nhập thành công; session lưu role MANAGER; chuyển về trang Admin Dashboard.,UI/API
Authentication,U1: Đăng nhập,TC_U1_04,Đăng nhập với email chưa đăng ký,Kiểm tra negative case email sai,Không,1. Nhập email 'notexist@gmail.com'. 2. Nhập password. 3. Bấm Đăng nhập.,Hiển thị lỗi 'Tài khoản không tồn tại'.,UI/API
Authentication,U1: Đăng nhập,TC_U1_05,Đăng nhập sai mật khẩu,Kiểm tra negative case password sai,Tài khoản tồn tại,1. Nhập email hợp lệ. 2. Nhập sai password. 3. Bấm Đăng nhập.,Hiển thị lỗi 'Sai mật khẩu'.,UI/API
Authentication,U1: Đăng nhập,TC_U1_06,Để trống trường email,Kiểm tra validation UI,Không,1. Bỏ trống email. 2. Bấm Đăng nhập.,Form báo lỗi required field; không gọi API.,UI
Authentication,U1: Đăng nhập,TC_U1_07,Để trống trường mật khẩu,Kiểm tra validation UI,Không,1. Nhập email. 2. Bỏ trống password. 3. Bấm Đăng nhập.,Form báo lỗi required field; không gọi API.,UI
Authentication,U1: Đăng nhập,TC_U1_08,Tài khoản bị khóa/inactive,Kiểm tra đăng nhập khi tài khoản bị ban,Tài khoản bị set is_active=false,1. Nhập email và password đúng của tài khoản bị khóa. 2. Bấm Đăng nhập.,Hiển thị lỗi 'Tài khoản đã bị khóa'.,UI/API
Authentication,U2: Đăng xuất,TC_U2_01,Đăng xuất tài khoản Khách,Kiểm tra hủy session,Đang login tài khoản Khách,1. Bấm Đăng xuất trên header.,Session/Cookie bị xóa; giao diện trở về trạng thái chưa đăng nhập; không xem được profile.,UI/API
Authentication,U2: Đăng xuất,TC_U2_02,Truy cập router ẩn sau khi đăng xuất,Kiểm tra bảo mật router,Đã đăng xuất,1. Nhập trực tiếp URL trang cá nhân hoặc giỏ hàng vào thanh địa chỉ.,Bị đá về trang Đăng nhập hoặc báo lỗi 401 Unauthorized.,UI/API
Authentication,U3: Đăng ký,TC_U3_01,Đăng ký thành công,Kiểm tra luồng tạo KH mới,Không,1. Nhập Tên; Email hợp lệ chưa tồn tại; SĐT hợp lệ; Password. 2. Bấm Đăng ký.,Tạo tài khoản thành công; chuyển sang màn Đăng nhập (hoặc tự động đăng nhập).,UI/API
Authentication,U3: Đăng ký,TC_U3_02,Đăng ký với email đã tồn tại,Kiểm tra trùng lặp email,Email 'abc@gmail.com' đã có,1. Nhập email 'abc@gmail.com'. 2. Nhập các thông tin khác. 3. Bấm Đăng ký.,Báo lỗi 'Email này đã được đăng ký'.,UI/API
Authentication,U3: Đăng ký,TC_U3_03,Mật khẩu không đủ độ dài,Kiểm tra validation password,Không,1. Nhập password '123' (dưới 6 ký tự). 2. Bấm Đăng ký.,Báo lỗi 'Mật khẩu phải từ 6 ký tự trở lên'.,UI
Authentication,U3: Đăng ký,TC_U3_04,Nhập sai định dạng SĐT,Kiểm tra regex SĐT,Không,1. Nhập SĐT chứa chữ cái '0912abc345'. 2. Bấm Đăng ký.,Báo lỗi 'Số điện thoại không hợp lệ'.,UI
Product,U4: Tìm kiếm SP,TC_U4_01,Tìm kiếm theo tên chính xác,Kiểm tra kết quả search text,Có SP tên 'iPhone 15',1. Nhập 'iPhone 15' vào thanh search. 2. Enter.,Danh sách chỉ hiện các SP có chữ 'iPhone 15'.,UI/API
Product,U4: Tìm kiếm SP,TC_U4_02,Tìm kiếm từ khóa không có kết quả,Kiểm tra search text sai,Không có SP tên 'Nokia 1280',1. Nhập 'Nokia 1280'. 2. Enter.,Hiển thị thông báo 'Không tìm thấy sản phẩm phù hợp'.,UI/API
Product,U4: Tìm kiếm SP,TC_U4_03,Tìm kiếm từ khóa chứa ký tự đặc biệt,Kiểm tra SQL Injection / XSS,Không,1. Nhập '% _ # OR 1=1'. 2. Enter.,Trả về rỗng hoặc kết quả khớp chuỗi; không gây lỗi server HTTP 500.,UI/API
Product,U4: Tìm kiếm SP,TC_U4_04,Lọc sản phẩm theo hãng,Kiểm tra filter Category/Brand,Có SP Apple,1. Bấm vào danh mục 'Apple'.,Chỉ hiện SP thuộc danh mục Apple.,UI/API
Product,U4: Tìm kiếm SP,TC_U4_05,Lọc sản phẩm theo khoảng giá,Kiểm tra filter Price,Có SP giá 10-20tr,1. Chọn bộ lọc giá 10 triệu - 20 triệu.,Chỉ hiện các SP có giá nằm trong khoảng này.,UI/API
Product,U4: Tìm kiếm SP,TC_U4_06,Kết hợp tìm kiếm và lọc,Kiểm tra filter nhiều tiêu chí,Có iPhone giá 20tr,1. Nhập 'iPhone'. 2. Chọn giá > 20tr.,Kết quả thỏa mãn CẢ HAI điều kiện.,UI/API
